age,income,credit_score,loan_amount,approved
50,54728,575,33739,1
56,50792,514,12359,1
45,27902,501,33246,0
36,99569,361,44303,1
39,55158,432,20103,1
21,23917,419,31122,1
25,99742,456,38861,1
42,32620,588,33204,0
44,97358,655,24470,1
63,93890,312,31779,1
65,44691,758,39923,1
57,90734,711,5693,0
56,46046,801,19036,0
56,42386,806,28705,0
24,31271,573,44797,0
56,41526,530,35495,0
38,63798,527,19761,1
36,45257,729,16755,0
61,77985,444,3403,1
38,73130,460,21955,0
42,94396,588,12031,1
22,46645,651,25539,1
41,44189,383,20911,0
56,20968,833,42491,1
64,25800,424,9726,1
59,44229,480,19874,1
67,78524,792,18762,1
59,49717,729,45576,1
49,93006,343,28682,1
46,83238,669,17405,0
41,24819,718,47113,1
37,76784,662,19532,0
36,89836,577,26061,0
51,66935,744,49281,1
29,68429,516,20496,0
51,96607,384,10841,0
34,23998,788,2488,0
69,61750,636,21478,1
57,25180,378,46127,1
22,98288,818,37422,0
68,50513,755,14421,0
66,37879,588,19026,0
34,81833,783,34532,0
53,34316,655,44079,1
55,96435,380,35528,0
59,44525,421,11885,1
67,25378,801,33813,1
40,68669,347,43575,1
22,22577,708,37109,0
61,41690,312,41993,1
39,78514,523,20383,1
57,80962,526,31265,0
38,89195,663,11209,1
36,97383,490,23744,1
24,95620,767,37693,0
32,93008,327,33450,0
49,38953,738,32336,0
27,83188,522,35686,0
34,81800,341,16825,0
32,62599,488,27039,1
55,57985,337,34036,0
25,33537,636,48229,0
37,62717,408,25148,1
62,29027,663,3908,0
52,22536,432,33968,1
30,22525,639,40527,1
63,29176,809,39741,0
37,90423,462,34836,1
25,96788,603,39558,0
65,90013,353,18861,0
62,37755,453,40547,1
29,39608,673,30574,0
69,79843,726,11282,1
53,72513,341,5946,1
56,91640,641,31062,1
56,40693,461,41723,0
38,77908,516,12660,1
29,32726,339,3990,1
49,26898,792,44988,1
34,64945,324,23756,1
45,65684,584,43208,0
35,64874,366,14295,1
26,98218,602,34173,1
62,89878,777,45346,0
49,68008,515,47282,1
35,23362,404,49014,1
49,54404,732,39190,0
24,31104,349,16953,0
38,46048,511,46934,1
69,37628,688,23881,0
64,97465,568,35204,1
59,33268,490,6160,1
36,84734,594,13496,0
31,30704,728,9287,0
34,90050,316,46065,1
23,44834,531,41883,0
62,68308,742,31067,0
58,80737,654,38530,0
65,81122,651,20704,1
62,58383,780,47676,0
38,70420,677,47108,1
40,34840,691,3499,1
68,44771,329,35995,1
45,48733,430,48318,1
58,39480,700,23121,0
33,36945,422,1361,0
24,31641,350,31848,0
34,35232,491,24954,1
53,64326,373,22818,0
48,96851,678,20971,1
57,63851,802,4901,1
28,44615,771,3267,1
64,43255,410,39584,0
54,50709,667,1496,0
64,76173,476,32613,0
25,77028,319,44682,1
25,30068,504,10579,0
51,62089,840,29564,0
65,65832,821,38476,0
29,26822,308,26754,0
62,40893,332,47254,0
52,98033,451,30543,0
53,34251,379,14068,0
23,63145,843,36125,0
50,91215,815,11142,1
32,71837,425,22078,0
49,59380,807,7121,1
23,41205,674,8328,1
46,76959,833,33392,1
50,86948,450,17196,1
29,87785,517,12179,1
46,87775,581,3233,1
22,73354,604,15828,0
23,98150,494,42711,1
66,94371,725,14301,1
24,49028,363,43527,0
45,84082,472,29546,0
33,79892,696,44745,0
59,34803,459,18291,0
64,98331,729,20043,1
55,35653,350,12437,0
43,40674,514,48007,0
29,62345,839,5748,1
22,59920,574,28952,0
61,52614,661,25922,0
64,38968,699,6188,0
51,74850,383,42449,0
64,82148,526,2513,0
67,80661,316,43137,0
22,37191,519,44568,1
52,79610,751,25274,1
38,65252,769,34269,1
33,32093,650,41854,0
66,93701,404,13280,1
25,46025,569,5331,0
62,98110,363,14531,0
64,54336,451,7337,0
30,45436,738,3306,1
63,62690,788,30166,1
45,90440,499,16308,0
54,48094,331,17867,1
57,83399,300,22652,0
50,24509,451,34197,0
27,90062,660,31060,0
26,58677,669,2190,1
23,74501,557,1845,1
33,55935,821,15363,0
23,95646,402,11692,0
46,87050,489,38676,1
44,37795,563,23117,0
26,60492,486,24036,0
63,24167,804,20216,0
69,71910,677,42190,1
62,29304,644,7765,0
32,79289,505,5308,0
69,24808,532,44288,0
56,94369,362,40422,1
22,51897,668,14790,1
31,95965,639,44278,1
59,24907,838,6998,0
54,97214,381,15072,0
46,88761,847,35994,0
38,21014,767,14452,0
41,92304,673,32839,1
56,87557,533,46406,1
60,71828,456,43701,0
66,78884,378,18432,0
64,94398,596,18151,1
42,88120,535,46778,1
50,24942,839,3198,0
63,82681,491,4563,1
50,27370,346,22391,1
28,64132,828,17223,0
54,33672,714,27078,0
67,72934,644,17690,1
29,76209,823,48476,0
40,93905,575,3668,0
60,28467,702,47217,1
45,46935,560,13743,1
39,66721,553,36193,0
25,82230,314,9129,0
31,31551,836,42240,0
35,74924,462,18593,1
28,68652,407,39975,0
39,62384,362,48787,0
43,74488,542,14975,0
47,68597,602,22298,1
60,73274,415,37158,0
52,27897,619,22143,0
46,88005,321,28439,0
47,67604,763,29179,0
39,59819,762,21444,1
62,29782,789,43035,1
49,50398,635,7398,1
59,73532,682,39949,0
61,45688,429,25333,1
53,45644,425,44490,1
39,60433,669,38748,0
57,40033,670,3247,1
39,70966,708,17647,0
53,23907,560,49261,0
67,56499,327,1745,0
36,93221,749,22450,1
43,28273,826,7314,1
27,82419,482,41758,1
46,64666,675,9652,1
52,33478,509,49919,0
32,96904,825,21315,1
28,95553,331,5674,0
25,28273,343,45037,0
62,69245,753,49096,0
48,66400,647,18551,1
25,59708,415,40352,0
69,52552,671,19493,0
46,71560,765,31682,0
25,46430,741,23248,0
42,48575,303,9916,0
35,78433,670,31144,0
33,69775,743,2169,0
48,63436,537,11490,0
53,72624,358,28760,1
63,52938,630,11831,1
43,46358,815,47501,1
53,28769,695,38521,1
63,93795,602,38645,1
38,93728,780,6701,0
50,37285,528,46834,0
46,42287,439,20457,0
36,67361,353,21217,1
33,65805,741,18657,0
59,51347,442,35236,1
53,28986,396,2703,1
46,22066,570,9093,1
68,62779,429,18416,0
21,77714,824,13701,0
69,76112,816,13777,0
58,79032,716,47484,1
22,39705,843,34621,0
69,44104,480,31859,0
26,96456,536,22033,1
66,62125,811,37987,1
58,78852,832,34460,1
62,99959,737,25221,1
44,57326,524,35093,1
38,65536,502,40258,0
47,74070,340,28361,0
61,45099,435,7094,1
28,53006,783,10275,1
48,44810,332,4704,1
30,27388,328,36382,0
37,79247,650,20765,1
49,95962,356,19686,1
26,93153,627,15883,1
34,60850,744,5153,0
42,99458,770,40736,0
26,45511,669,6939,0
46,78612,670,41242,0
59,59224,671,39492,0
32,45394,789,7669,1
55,73269,552,32433,1
34,79459,785,41343,0
42,87975,557,18317,1
43,30019,738,17070,1
68,42470,317,28767,0
27,73976,518,27996,1
60,68003,811,5386,1
45,93927,477,12953,0
33,49658,508,35969,0
41,93905,826,44359,0
61,94658,534,23890,0
30,31928,434,40638,1
29,54804,508,32881,0
35,71243,510,37596,0
22,58318,572,37347,1
45,67812,459,33026,0
33,65048,443,15576,1
54,62875,807,31865,1
54,44591,633,48095,1
55,33891,801,33192,0
58,27721,743,28585,0
23,46152,385,1799,1
62,69457,479,31436,1
26,92659,379,4422,0
68,91348,453,7761,0
69,56112,478,9139,0
39,40840,598,15906,0
23,21208,625,39206,1
38,38242,308,44194,1
59,21971,727,17770,1
29,49795,491,42724,1
32,20983,389,13099,1
25,31502,301,4983,0
23,48577,719,37158,0
31,30354,302,20209,0
50,87663,704,38901,1
24,43860,791,29404,1
25,53328,564,35404,1
21,92188,542,45114,1
47,62769,659,15250,1
48,40771,494,23640,0
49,72084,798,10667,0
38,61250,512,2518,1
32,67867,453,43359,1
33,98417,345,48203,0
61,70580,480,49879,1
22,37331,525,12730,1
57,96255,331,26290,1
65,28572,646,32634,1
36,29896,745,32531,0
68,53077,474,2458,0
44,91325,429,18513,0
55,95226,596,5775,0
42,66221,551,45215,0
56,61620,751,15832,1
31,30264,720,10415,0
66,36049,783,39280,1
49,97164,656,14687,1
55,87678,457,37590,0
68,49236,844,27351,1
35,41123,300,5921,0
51,46007,308,3805,0
62,30142,808,46118,0
61,48498,843,28879,0
63,53226,394,5066,1
36,60348,576,35593,1
30,47524,834,16007,0
69,69489,416,6767,1
52,35298,755,41470,1
22,32135,659,4877,1
44,92916,329,49866,1
43,56788,624,15869,0
22,44920,373,21378,0
58,82015,718,27836,0
51,83010,562,8859,0
60,25643,745,6276,1
46,70094,703,21108,0
49,36729,403,7372,1
23,73046,739,9612,0
34,81039,442,26004,0
45,61284,506,13413,0
68,92146,845,13329,0
21,31804,560,10319,1
23,77867,382,5001,0
46,27816,562,19805,0
38,47473,471,30938,1
29,31932,661,44081,0
58,69410,341,48054,0
43,43709,573,20098,0
41,26487,799,33847,1
21,37204,431,18177,1
41,25988,752,44315,0
47,47364,724,48026,1
62,58403,352,49835,1
26,41048,696,6436,1
64,27093,493,21897,0
56,49196,698,31824,1
48,42727,763,44010,1
65,62167,654,34254,1
37,44884,472,3712,1
60,54607,639,25216,0
23,93211,492,17229,1
32,64312,729,5800,0
59,60769,686,15591,0
32,29575,767,15795,1
22,55074,630,37817,0
66,30664,826,25808,1
42,96695,728,26892,1
43,33299,515,31073,1
50,48032,575,24820,0
25,61397,407,6713,0
29,85991,555,15990,0
41,75919,378,45526,0
31,78447,689,11892,1
25,85498,829,10803,0
55,64572,641,32609,1
47,90274,604,18481,0
69,36775,508,14434,1
22,55389,310,15489,1
44,26176,445,40322,1
51,68263,334,6653,1
53,29112,650,30280,0
59,47033,839,43602,0
50,39984,408,29751,0
66,51742,323,43688,0
57,90044,798,24537,1
48,59210,671,3602,0
51,76806,464,15573,1
31,79132,696,37522,0
43,91752,571,42738,0
22,44269,726,13008,1
60,85796,372,20285,1
61,26833,349,41028,1
47,29527,824,4105,1
55,25944,370,3025,0
22,42518,791,2602,0
59,53102,773,40134,1
57,27669,500,34528,1
41,45379,323,20210,0
25,43712,768,20053,1
65,39191,736,8012,1
41,33259,513,29871,1
49,57958,594,49905,0
40,45516,446,37709,0
58,55931,681,33263,1
40,94630,728,16807,0
45,31624,715,42973,1
22,43872,304,49797,0
52,52791,689,32907,1
46,24652,306,13215,1
26,55516,789,21476,0
61,28095,628,22598,1
23,88893,575,42320,0
53,97632,539,37804,1
21,28095,303,17786,0
25,96216,405,26825,1
33,75124,339,46644,1
39,48242,846,25688,0
32,46333,562,7393,1
68,33169,578,39332,1
45,79222,643,21376,1
55,38916,843,38325,0
32,58105,778,34985,1
50,89309,463,18698,0
25,68194,701,33706,0
54,79422,784,49608,1
42,75617,652,11429,0
59,41045,381,39333,0
33,87593,564,22535,1
67,37061,341,17784,1
23,98674,498,23002,1
40,55742,682,5018,0
51,44860,506,44675,1
25,74800,409,42556,1
44,59212,729,32487,0
60,38224,371,42778,0
53,87414,707,15329,0
28,95338,578,30714,1
44,48538,406,22856,0
40,35037,738,34750,1
36,31690,350,7790,0
32,30323,422,7535,1
33,23314,730,29317,0
65,66185,623,49390,1
62,54146,674,31446,0
59,34356,847,17953,1
45,96805,720,8919,0
66,25340,675,20029,0
52,64852,408,22530,1
44,82550,790,24785,0
68,62675,522,44363,0
67,20392,318,37259,1
64,91007,848,5220,0
29,70421,516,32834,1
60,28137,532,24991,1
43,33997,709,4653,0
33,50278,811,22015,0
52,30397,489,13445,1
35,51530,605,42570,0
56,68364,752,29404,0
69,24794,406,10457,0
25,91899,524,14488,1
42,28079,685,2186,0
36,97568,829,10507,0
61,87041,359,5042,0
30,29448,671,48473,0
44,98776,441,4730,1
38,79606,417,24207,1
69,60177,491,46164,0
38,52977,585,1344,1
27,40177,840,33789,1
24,73673,318,10408,0
46,39431,415,41944,0
25,87655,339,22218,0
36,20177,564,44158,1
55,30226,420,10879,1
46,32231,663,37134,0
38,69426,504,14349,1
49,99552,785,30310,0
43,99670,394,37014,0
34,72147,698,46446,1
35,34082,845,14414,0
69,93311,629,12691,0
53,36175,609,13508,1
45,34133,516,30864,1
41,82877,467,45457,1
37,42427,831,15921,0
43,77832,408,45615,1
63,34837,498,40916,0
37,30546,701,22992,0
34,30748,471,25981,0
49,87089,483,30886,1
40,80029,316,48059,0
50,45241,455,8608,0
39,81445,320,24377,1
59,22469,720,41353,1
33,69067,450,20990,0
38,21474,410,30723,0
43,68554,614,31888,0
66,51109,757,36849,0
53,42861,351,4891,0
59,53105,572,46162,0
60,77612,684,5407,0
38,91500,387,9329,1
29,55596,319,16090,1
53,92008,730,12712,0
52,92100,469,33247,0
37,21336,405,8196,0
39,63316,626,44716,0
47,67917,518,23315,1
26,54435,564,6148,0
55,86748,621,36443,0
57,22768,615,5592,1
54,84077,407,26619,1
40,47634,808,22182,0
45,74928,840,5103,0
24,69596,826,19136,0
30,95125,537,46760,1
30,73533,308,34891,0
44,56444,635,35091,1
41,92621,621,5879,0
31,38211,300,44122,0
47,42669,420,4452,1
36,74711,308,24180,1
46,90047,612,13992,0
50,75480,483,39727,1
69,53453,537,3432,0
36,53452,629,24059,1
27,67769,770,45646,0
36,28532,318,46340,1
55,32891,317,13788,1
36,83246,579,33732,0
60,53501,426,31972,0
32,21496,607,46329,1
55,35154,513,28089,0
69,96682,575,9023,0
41,78475,628,2464,0
63,25450,315,48685,1
56,57403,736,22595,1
68,66791,305,24101,0
37,47289,580,25115,1
52,75679,314,21217,0
61,43109,609,40178,0
26,63439,765,38060,0
44,44415,726,25108,0
47,30181,780,36948,1
40,90246,825,21250,0
45,48395,845,33480,0
22,99036,685,37513,1
29,54209,831,19993,1
48,55158,571,8405,1
58,86920,494,13670,0
23,38540,537,4780,1
40,24396,770,44417,0
26,21391,402,30743,1
59,76574,542,8603,1
53,36652,514,38858,0
21,29716,376,8245,1
57,35568,683,17779,0
26,28669,420,34292,0
65,89807,840,16599,1
54,69390,444,15810,1
67,99792,392,47607,0
35,43386,784,29082,1
65,44152,804,48029,1
46,98315,621,1835,0
34,34434,374,15732,0
27,49000,762,3961,0
66,47973,450,33331,0
51,57861,434,31354,0
44,26438,489,27192,0
51,32729,333,38062,1
49,46407,657,46972,0
62,62711,404,40149,0
52,98191,668,49128,1
37,75850,471,2677,1
34,93895,369,31047,1
60,34172,738,6640,0
56,89078,621,47346,1
68,35529,419,19077,0
44,93590,410,30614,1
65,60281,555,47198,0
47,93805,721,34028,1
45,96626,455,47621,1
52,86644,484,24282,1
38,78235,536,40641,0
66,86760,744,23851,0
38,32876,802,9794,0
57,76680,624,12164,1
46,35097,676,9364,1
29,94292,802,11997,1
55,22859,756,23522,1
28,44877,706,3648,1
40,34628,387,22463,1
62,98117,404,1680,1
42,28300,757,25508,1
39,22412,556,49818,0
50,99341,433,49182,1
48,23338,785,10407,1
55,79484,584,20122,0
63,25804,686,38994,0
31,73675,643,23969,0
51,32392,725,39991,0
69,95984,436,26320,0
68,40029,593,47730,1
59,85263,341,16292,1
56,47097,349,7754,1
50,82524,472,10861,1
43,36395,588,26828,1
39,42993,461,47282,1
32,82088,639,25219,1
35,80610,622,23185,0
51,37258,625,24987,0
63,27303,466,47858,1
57,90186,466,7853,0
57,32177,668,41871,1
35,33747,384,33157,1
49,41823,414,9887,0
63,99718,349,33588,0
46,98812,757,43594,0
64,95307,671,48612,1
22,31963,517,22247,1
40,44928,558,12312,1
35,89023,669,35976,0
24,30038,395,35714,1
42,87926,774,1925,0
58,23438,524,13792,0
43,55151,640,45313,1
46,56135,726,18051,0
31,26167,783,34439,1
48,33172,583,28849,1
22,71303,647,2035,0
28,50360,640,40156,0
49,86310,673,25827,1
31,80709,712,34142,1
57,85478,717,32203,0
38,67445,581,29657,1
34,56698,542,43069,1
30,47256,838,17966,1
55,54207,498,22171,0
29,94441,730,37963,0
55,45151,784,8880,0
31,74236,526,43219,0
64,58278,495,3909,1
32,96709,527,43139,1
23,69221,366,19621,1
59,98666,624,10884,0
34,67350,637,11741,1
48,46952,826,1377,1
31,30937,413,44995,0
59,61702,403,29520,1
45,59496,727,32543,1
41,43794,802,42496,0
30,78720,606,5566,0
63,44985,492,12256,0
35,39391,513,38577,0
39,77295,444,38928,1
68,92406,357,31340,0
42,41993,422,33701,0
41,62639,848,42718,1
64,49720,534,49126,0
52,29906,790,3676,1
43,83820,374,17864,1
33,83238,594,18853,0
25,71489,799,12382,0
24,96944,417,25187,0
48,23193,643,9552,0
34,60986,458,25996,0
28,80481,346,8491,0
29,25220,662,20160,1
55,39357,632,14343,0
57,59299,679,22261,0
41,39549,423,38338,1
38,37474,463,4262,1
53,77593,469,36271,1
28,20141,446,27909,0
69,40694,811,48308,1
37,36863,457,25820,1
63,22690,631,22162,1
51,65056,502,49948,0
54,80424,419,49412,1
26,41320,328,15715,0
42,87963,461,8757,1
34,45419,813,20442,1
23,60832,399,47256,0
32,55983,356,42463,0
56,42365,782,48357,0
32,23911,444,47714,1
65,20649,453,26689,0
22,74688,680,11659,0
22,46469,338,35547,1
35,63346,447,1638,1
43,60884,826,36098,0
49,37677,531,34208,1
37,80390,412,19075,1
52,88249,777,13397,0
27,82635,705,21982,1
50,94131,451,2835,0
48,99315,541,18402,0
34,83734,771,2111,1
64,32164,701,31656,1
50,73184,563,29776,1
37,87082,680,38786,0
52,55374,377,12904,0
66,98709,602,5617,0
26,49580,515,4626,0
44,76792,528,48172,1
26,43318,451,7536,0
47,34627,829,39722,1
38,91614,782,1513,0
44,56091,767,32057,0
57,93902,395,48995,1
44,34444,784,32757,1
58,59873,844,32293,1
54,37747,684,26975,1
60,29229,539,16085,0
67,87626,572,15532,1
35,77804,345,19369,1
31,68229,761,26126,1
42,52368,650,2174,0
44,30944,558,11491,0
21,51752,355,7641,1
38,52916,837,39618,0
64,40817,357,26500,0
32,90634,746,44972,0
63,21133,525,26739,1
48,76707,563,15348,1
60,48670,503,26209,1
27,75162,756,47205,1
43,67724,837,14191,1
41,72837,721,16981,0
54,55974,348,38015,1
31,21109,742,31939,1
42,48755,510,9867,0
62,44802,320,6134,1
55,84771,696,18722,1
49,63899,654,43756,0
62,61972,686,15862,0
48,88642,388,24651,0
38,56704,825,36460,1
34,95194,778,37461,1
38,93997,435,19646,1
48,72958,306,14531,0
44,62491,398,29240,0
28,28495,766,5434,1
62,85181,429,11252,1
65,68112,624,46548,1
28,33097,365,38420,1
24,41532,317,3849,1
47,51110,443,41686,0
56,68543,567,49672,1
25,71084,663,14422,0
53,60702,615,8055,0
69,82348,783,12708,0
54,44717,769,28522,1
50,75941,609,36162,1
28,81295,339,16674,0
59,63252,801,31847,0
67,69917,303,37243,1
46,41399,759,5213,1
57,22496,706,11494,1
54,50985,469,5141,1
27,41434,699,19932,1
60,58178,847,23468,1
48,53310,572,27487,1
59,96407,481,42857,1
59,33390,765,13998,1
48,96682,646,41297,0
34,68577,724,4273,1
58,71933,639,34359,0
24,35479,551,32336,0
62,96719,398,31363,1
38,48224,794,38564,1
64,70351,588,28987,0
68,95845,837,39297,1
45,36173,586,47077,1
27,96408,348,16438,1
58,59800,493,19408,0
48,47424,714,36966,1
25,42707,315,31813,0
23,90224,408,17139,1
64,32854,689,11366,0
51,23681,386,3761,0
67,41613,666,28738,0
62,39879,308,10591,0
40,26078,645,20510,0
39,65461,745,26636,0
68,72314,568,37780,1
31,47941,787,30781,0
60,21416,829,10510,1
23,45425,400,9872,1
43,28507,344,7421,0
27,80587,707,46008,0
43,33573,587,42616,0
27,78851,306,21889,1
66,48698,575,4172,1
54,62478,702,3853,0
62,81494,665,2445,0
39,38318,313,26328,1
29,58719,827,23131,1
68,89880,713,45352,1
38,95529,435,9205,1
61,59102,634,37977,1
68,39006,437,12493,0
65,29048,719,6574,1
62,41949,786,12941,0
45,95604,323,44562,0
34,37909,540,42353,1
64,51335,812,30308,1
45,54184,629,37373,0
39,80823,770,47655,0
59,81215,657,3553,0
35,87330,757,2580,1
36,47641,716,5581,0
47,88256,842,46329,0
60,26826,376,19942,0
30,59563,361,38956,1
24,72828,846,17394,1
39,26369,474,8578,1
48,61312,746,38658,1
41,25826,321,38307,1
67,22192,433,3467,0
34,39920,823,5024,1
53,43683,752,32500,0
68,45692,399,14934,1
30,29409,500,6531,1
39,34795,483,43502,1
50,96716,446,5191,0
42,79572,578,16762,1
23,41735,598,7670,1
57,64036,579,40254,1
61,95672,686,4183,1
38,73387,524,22015,1
31,96827,697,36508,0
68,98085,716,43551,0
22,32021,454,10449,0
32,89650,345,37599,1
26,88120,410,14742,1
63,29740,527,13547,0
60,75554,601,23689,1
64,33319,381,38042,0
49,25242,443,11470,1
50,66169,441,11010,1
22,83711,640,20182,1
29,49407,726,47991,1
67,73504,774,16967,1
22,41312,836,38432,0
49,99630,442,38316,0
53,32988,713,46114,1
30,98734,343,12560,0
54,86234,540,34952,0
64,85973,381,26442,0
28,35995,694,29740,1
57,29876,798,20862,1
53,38537,365,26773,0
67,98438,577,48460,1
26,75160,648,37734,0
64,25278,347,43271,1
60,53727,582,10779,0
65,30031,649,49333,0
39,82745,708,26460,1
52,94442,611,4104,0
47,99834,690,45194,0
21,71866,832,27345,1
63,86883,532,13520,1
53,90544,389,9302,1
60,75237,305,11725,1
52,44553,309,49953,1
25,24868,636,34493,1
37,23960,614,42462,1
28,83953,411,20431,1
62,29944,379,27945,1
54,88041,752,7024,0
29,74248,347,26949,0
43,43759,390,35788,1
55,38121,375,34426,1
27,65129,384,17059,0
35,70189,562,8602,0
40,51559,700,47408,1
45,25760,533,36972,1
23,98617,515,27073,1
66,53126,644,12085,1
44,50961,473,20614,1
54,53844,336,32061,1
66,34088,828,25992,1
42,27236,619,45583,1
31,74967,612,36824,1
68,71454,768,20582,0
28,65060,344,40610,0
59,62564,372,23238,1
63,53843,664,23354,1
55,40432,408,17773,0
69,34433,646,23957,0
66,47808,437,3855,1
58,56245,481,24294,1
28,82222,603,20626,1
57,44902,626,26453,0
47,34702,813,4017,1
48,84211,379,12760,0
60,64185,417,14657,0
54,65707,561,3819,0
52,94222,379,2138,1
35,22416,565,28450,1
64,52671,692,25624,1
37,87678,587,19180,1
53,20207,301,34148,1
67,96382,795,48965,0
66,70790,648,30079,0
36,41511,834,7276,1
49,44711,720,41708,1
29,68014,847,10415,0
53,45746,825,6365,0
69,26024,770,40394,0
49,50392,826,37406,1
33,64531,590,3240,0
41,42759,833,46574,1
41,81586,591,40851,0
25,65772,395,21636,0
30,30797,792,43609,0
26,79727,714,25065,1
33,69269,761,36513,0
21,62500,795,10542,1
40,39986,325,6897,0
67,38320,329,31168,1
66,56951,677,31297,0
28,60694,658,45457,1
30,62612,695,41389,0
29,73723,408,11691,1
69,58569,557,15279,1
61,73542,633,18932,0
23,41199,703,48355,0
31,91036,741,15172,1
32,49666,530,10818,0
30,25402,447,44144,1
45,57549,845,28597,0
69,35515,464,11876,1
69,92593,494,37283,1
45,84598,782,2738,0
31,32099,426,42176,0
56,42097,524,28734,1
59,90719,522,13230,0
46,73366,454,16080,1
34,40463,337,42959,1
59,69094,721,11736,1
60,36696,312,18809,0
21,28354,648,5680,1
24,37912,704,35645,0
50,65348,524,15452,0
32,41880,603,16990,0
55,90304,345,25892,0
33,43951,519,15830,1
51,53166,377,36311,0
58,75782,577,10651,1
63,80930,828,31984,1
43,37431,396,32977,1
24,38326,780,47910,1
36,47706,401,15349,0
27,53007,370,3379,0
42,59232,457,3279,0
49,53439,349,20984,1
31,71771,701,1439,1
53,44303,365,24447,0
49,55229,534,31961,1
59,77745,568,37684,1
32,71258,556,36440,0
27,40532,715,26917,0
59,92312,388,20473,0
62,29334,821,33244,1
68,57892,798,35525,1
46,48484,682,27491,0
60,48831,776,11806,0
29,43665,700,29009,0
61,49205,533,15971,0
54,92590,605,41959,0
65,63468,358,43468,0
33,81725,561,46888,0
56,86564,749,21745,1
45,30368,331,3939,0
44,41435,368,13036,1
64,57362,382,33488,0
37,33394,770,24794,0
22,67753,303,12743,1
33,74428,473,23010,1
51,63038,404,31046,0
49,76138,447,9356,0
48,99133,421,3208,0
47,29880,313,24773,1
35,40815,807,41038,0
51,98422,806,48113,1
60,70298,686,22951,1
35,97502,832,40614,0
53,45440,616,26762,0
40,26514,448,41496,1
62,57668,804,48259,0
32,65369,794,28702,1
57,69179,736,42096,1
29,68069,732,38864,0
43,90885,563,20402,0
28,86565,400,9876,0
52,92152,707,20359,1
68,54764,381,27024,1
34,70493,704,23649,0
47,45824,423,45692,1
45,84544,563,45363,1
33,68461,540,11818,0
41,38471,390,15411,0
65,45256,527,2051,0
51,53142,453,46043,1
57,64329,671,9761,1
68,23045,660,34540,1
63,34728,633,7749,0
25,49713,780,9671,1
33,99374,514,1827,1
48,42659,841,7008,1
63,26352,477,22395,1
45,86941,745,35664,1
55,61747,469,5601,1
67,92686,455,24814,0
59,49623,330,19566,0
27,37716,666,4801,1
58,93601,527,32072,0
52,32564,415,22553,0
23,39531,758,41670,1
65,60760,823,43603,0
59,23449,600,12789,0
57,53777,621,40662,1
42,27279,495,38218,0
28,64809,715,32965,0
37,25191,724,19722,1
47,94044,482,36006,1
53,25307,816,44322,0
66,24216,618,41785,1
37,86901,559,12583,0
62,81743,670,7655,1
32,29127,596,48317,0
68,55536,653,39155,1
66,20495,354,42873,0
47,89128,600,31657,0
68,87768,614,13695,1
28,81362,555,1230,1
43,60816,480,12395,1
62,39319,680,13796,1
69,84295,607,16875,0
49,33000,822,23554,0
40,26719,651,14501,0
36,89981,422,46054,0
37,67941,778,39207,1
36,96312,767,32319,1
39,59323,481,18050,1
28,77320,689,33890,1
58,31419,605,38311,0
58,93436,555,37387,0
49,46403,637,48706,0
61,48298,803,49603,1
56,57365,512,1061,1
46,66233,596,36246,1
51,90545,519,7369,0
64,92771,839,41831,0
32,76360,722,28969,0
37,81966,498,29968,1
35,58056,490,4500,1
29,76965,428,17462,1
59,84237,460,28388,1
62,31195,332,1535,1
68,59374,310,25978,0
32,83539,806,43694,1
52,46248,743,35287,0
45,71454,514,16427,1
59,46226,792,14795,0
38,96202,489,15631,0
35,51709,700,25669,1
52,62850,544,1191,0
26,60537,692,4754,0
64,83458,382,39077,0
63,50949,413,41953,0
55,45853,368,37813,1
54,41997,633,32145,0
58,55870,460,11682,0
25,78529,406,13589,1
38,83371,746,29212,1
36,70607,439,46843,0
28,78523,659,15313,0
45,54114,449,30818,1
52,61588,398,7197,0
46,70366,466,43201,1
42,49871,762,48239,0
51,87497,383,39931,0
63,82284,601,33192,1
30,25690,539,43959,1
32,35168,516,6184,0
48,65875,480,2442,1
26,90994,716,8815,0
40,85116,491,20079,0
25,30033,393,19369,1
43,93583,626,22419,1
29,24902,764,5111,1
49,21496,733,19890,0
36,81263,629,3032,1
66,47664,826,13607,1
42,62203,418,40885,0
28,24582,320,44428,0
40,49482,320,34915,1
34,54811,615,40431,1
59,56144,520,27401,0
57,61476,364,30324,1
54,51872,448,13266,0
31,37007,482,37643,0
60,70199,581,16029,0
53,70716,630,40270,1
51,53264,354,19132,1
64,85230,412,39736,0
54,47005,512,42396,0
27,51475,345,46841,0
69,36926,745,27152,0
43,53683,369,35280,0
66,96810,481,13394,1
27,66049,472,43723,0
45,69483,803,4107,1
23,59913,609,24812,1
58,80934,508,47107,1
40,62494,522,26520,0
54,50288,642,17707,1
69,45682,419,16490,1
64,87125,847,19336,0
64,50809,333,38432,0
50,71742,689,24731,1
37,79584,588,19754,0
30,94215,834,33325,0
55,28803,399,25858,1
40,72572,327,32061,0
38,80538,614,17801,0
65,70608,539,14048,0
64,63153,803,30683,0
47,68657,718,15627,0
69,29529,704,32578,1
56,68208,453,22000,0
43,95928,649,27987,0
52,57265,513,1536,1
30,24583,348,11317,1
31,81226,658,32728,0
58,46690,797,34782,1
26,30328,646,38104,1
61,36238,641,41456,1
67,59113,722,27295,0
54,76235,738,41050,1
56,41682,543,3094,0
